content,score,time,type
安装师傅简直了&amp;hellip;&amp;hellip;态度之差，售后之差，买的热水器挂墙上就是安装了，水管不接，电源都不接通，跟客服沟通也没有解决，结果就是自己安好的，差评差评差评差评差评差评！！！！,1,2024-11-09 16:38:51,bad
热水器做工比较次,1,2024-11-09 16:21:07,bad
非常差不要买！各种问题京东不管！,1,2024-11-07 16:55:12,bad
问他们有没有断电功能就说有买回来就没有找了客服不了了知，差,1,2024-11-07 12:21:36,bad
美的售后至今不知所踪。。虽然热水器是我自己安上的，但从这个热水器到货后，美的从没有打过电话，咱也不知道售后是有多忙。都说美的售后差，见识了。,1,2024-11-05 23:23:54,bad
热水器从安上那一天就开始呜呜响，晚上都影响睡眠，打售后没人接,1,2024-11-05 21:46:43,bad
东西表面坑坑洼洼不像新的差劲大家不要买,1,2024-11-04 14:44:24,bad
体验感特别不好，千万别买了第一次到货后插座的地方都是开的，换了一次货。这来了都是脏的，,1,2024-11-03 23:08:48,bad
很无语 一开始我电话填错了  我联系客服改了   后来联系预约安装时间 说给我预约好了 结果打电话过去问   一开始的电话没改  时间也没有预约  真的很无语 耽误时间,1,2024-11-03 09:07:25,bad
买回去。，安装就有质量问题,1,2024-11-02 23:35:15,bad
今天刚买回来安装好，触摸屏调节不了温度。,1,2024-11-02 20:46:06,bad
此用户未填写评价内容,1,2024-11-02 15:54:09,bad
热水器做工比较次,1,2024-11-09 16:21:07,bad
刚买没几天就出现漏水情况，换货两次都出现外观破损，太让人失望了,1,2024-11-28 10:29:46,bad
什么配件都要自己买，商家只负责挂墙上,1,2024-01-30 20:48:22,bad
刚安装还没五天，才用了四次，结果今天想用发现控制面板坏了，完全没反应，等于无法加热了。已经申报维修，接下来再看情况。都怀疑是不是卖美的的假货了,1,2024-05-04 15:16:48,bad
收到快递，联系安装人员，打了三四个电话都不接，自己安装的,1,2024-02-07 16:58:46,bad
颜色和我购买的不一样,1,2024-10-06 21:57:33,bad
"说好的保价，买时候*,买来不到一个月就降价了差不多*，还不能申请价保，说明不值这个价，慎买！",1,2023-11-09 15:29:35,bad
瑕疵厉害，显示板下方会有裂口容易进水蒸汽有安全隐患，也容易导致显示板损坏,1,2024-12-23 11:41:24,bad
第一台漏水。,1,2024-12-30 21:42:34,bad
我手机定的水温，但是实际给我烧上去那么多,1,2024-10-31 18:49:06,bad
